iter	Passed	Remaining
886	1896	241
887	1897	239
888	1899	237
889	1900	234
890	1902	232
891	1903	230
892	1905	228
893	1907	226
894	1908	223
895	1911	221
896	1913	219
897	1915	217
898	1916	215
899	1918	213
900	1919	210
901	1921	208
902	1922	206
903	1924	204
904	1926	202
905	1927	200
906	1929	197
907	1931	195
908	1932	193
909	1934	191
910	1936	189
911	1937	186
912	1939	184
913	1941	182
914	1942	180
915	1944	178
916	1946	176
917	1947	173
918	1949	171
919	1950	169
920	1952	167
921	1954	165
922	1956	163
923	1957	161
924	1959	158
925	1961	156
926	1963	154
927	1965	152
928	1966	150
929	1968	148
930	1969	146
931	1971	143
932	1973	141
933	1975	139
934	1976	137
935	1978	135
936	1979	133
937	1981	130
938	1983	128
939	1984	126
940	1986	124
941	1988	122
942	1990	120
943	1991	118
944	1993	116
945	1994	113
946	1996	111
947	1998	109
948	1999	107
949	2001	105
950	2002	103
951	2005	101
952	2007	98
953	2008	96
954	2010	94
955	2011	92
956	2013	90
957	2015	88
958	2016	86
959	2018	84
960	2020	81
961	2022	79
962	2023	77
963	2025	75
964	2026	73
965	2028	71
966	2030	69
967	2031	67
968	2033	65
969	2035	62
970	2037	60
971	2038	58
972	2040	56
973	2041	54
974	2043	52
975	2044	50
976	2046	48
977	2048	46
978	2049	43
979	2051	41
980	2053	39
981	2056	37
982	2058	35
983	2060	33
984	2061	31
985	2063	29
986	2065	27
987	2067	25
988	2069	23
989	2071	20
990	2072	18
991	2074	16
992	2076	14
993	2077	12
994	2079	10
995	2081	8
996	2083	6
997	2085	4
998	2086	2
999	2088	0
